N_PMUT,Frequency_Hz,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std,V,PMUTSweep,DetectionN,w_rad_s,phase_rad,X_val,Y_val
1,123696.211064086,0.123696211064086,0.6989096666666667,1.8583146486365757e-05,0.018115033333333332,1.965536398373222e-06,-0.005803513333333334,1,0,777206.2159116501,0.00031616697577519014,0.6989096317346178,0.0002209721519685928
1,124095.4151613849,0.12409541516138489,0.6989163333333334,2.0231987874012962e-05,0.018039333333333334,2.7061657993057985e-06,-0.00574248,1,0,779714.4892303644,0.00031484576153143043,0.6989162986922957,0.00022005084157956044
1,124495.907607205,0.124495907607205,0.6989186666666667,2.0502032419498738e-05,0.0179655,7.937253933204005e-07,-0.005727216666666667,1,0,782230.8574815777,0.00031355712676704126,0.6989186323084992,0.00021915092537276866
1,124897.6925601397,0.12489769256013969,0.6989393333333332,1.6041612554052903e-05,0.017890633333333333,1.2741009902413777e-06,-0.0058645500000000005,1,0,784755.3467945028,0.00031225045693371485,0.6989392992599195,0.00021824412265579964
1,125300.7741914658,0.1253007741914658,0.6989483333333334,2.3755701070166498e-05,0.0178163,2.9308701779515114e-06,-0.005727220000000001,1,0,787287.983378045,0.00031095309552306574,0.6989482995420379,0.00021734014435818494
1,125705.1566858891,0.1257051566858891,0.698957,2.4556058315530007e-05,0.017743166666666668,1.604161255402082e-06,-0.005864553333333334,1,0,789828.7935254861,0.00030967667806344057,0.6989569664851363,0.00021645067840959765
1,126110.8442415448,0.12611084424154478,0.6989613333333334,1.625833119769537e-05,0.017667966666666667,1.4224392195580795e-06,-0.005762823333333333,1,0,792377.8036144875,0.0003083641904659408,0.6989613001017504,0.0002155346423045179
1,126517.8410699974,0.12651784106999742,0.6989636666666666,7.767453465168944e-06,0.0175966,1.9000000000012244e-06,-0.005676356666666667,1,0,794935.0401070897,0.0003071186071564342,0.6989636337028977,0.00021466474438502518
1,126926.1513977327,0.1269261513977327,0.6989693333333333,2.145538005570954e-05,0.017521,5.56776436282967e-07,-0.005742476666666667,1,0,797500.5295590858,0.00030579913824192647,0.6989693006519345,0.00021374421645955263
1,127335.7794631735,0.1273357794631735,0.698985,2.1656407827712072e-05,0.017448866666666667,4.5092497528217617e-07,-0.005737389999999999,1,0,800074.2986012718,0.00030454017407482124,0.6989849675864169,0.00021286901028527615
1,127746.7295189183,0.1277467295189183,0.6989966666666666,1.6623276853031853e-05,0.0173752,1.345362404707569e-06,-0.005722133333333333,1,0,802656.3739535123,0.0003032544481925188,0.6989966345256606,0.0002119738451894423
1,128159.0058309945,0.1281590058309945,0.6990063333333333,1.814754345172006e-05,0.017302266666666666,1.3576941236286663e-06,-0.00578317,1,0,805246.7824200476,0.00030198152139139755,0.6990063014611474,0.00021108699279395195
1,128572.6126810971,0.1285726126810971,0.6990143333333334,1.715614564330686e-05,0.017229566666666668,1.0692676621570156e-06,-0.005727220000000001,1,0,807845.5509035611,0.0003007126670251977,0.6990143017280618,0.00021020246129747203
1,128987.5543613661,0.1289875543613661,0.6990219999999999,1.0440306508950235e-05,0.017157433333333333,7.637626158248444e-07,-0.005818773333333333,1,0,810452.7063723636,0.0002994537028580924,0.699021968658468,0.0002093247231508235
1,129403.8351811011,0.1294038351811011,0.6990270000000001,1.513274595040551e-05,0.01708583333333333,1.4433756729722529e-06,-0.00574248,1,0,813068.2759025833,0.00029820404711366447,0.6990269689192838,0.00020845267735225843
1,129821.4594615388,0.1298214594615388,0.6990416666666667,5.859465277077912e-06,0.017012433333333334,2.2678918257565214e-06,-0.00589507,1,0,815692.2866453509,0.00029692297544270065,0.6990416358517731,0.0002075615285752079
1,130240.4315380912,0.1302404315380912,0.6990503333333332,2.35017729827866e-05,0.016941166666666667,1.2858201014676249e-06,-0.00568144,1,0,818324.7658408635,0.000295679137462446,0.699050302775693,0.0002066945965910831
1,130660.7557610917,0.1306607557610917,0.6990546666666667,2.157158624980389e-05,0.016869566666666665,2.872861523520862e-06,-0.0058340300000000005,1,0,820965.7408230718,0.00029442948171801804,0.6990546363665899,0.00020582230022548324
